,Title,Genre,Production,Actor,Producer,Rate,Rate_percent,Imdb
196,گیلانه,اکشن - جنگی,1383,"['فاطمه معتمدآریا', 'بهرام رادان', 'باران کوثری', 'ژاله صامتی', 'شاهرخ فروتنیان', 'مجید بهرامی', 'نیره فراهانی']",رخشان بنی اعتماد,668,91%,6.7
197,راه رفتن روی سیم,خانوادگی - عاشقانه,1395,"['احمد مهرانفر', 'حامد کمیلی', 'اندیشه فولادوند', 'هومن برق نورد', 'سید مهرداد ضیایی', 'رسول نجفیان', 'مریم بوبانی', 'علیرضا استادی']",احمدرضا معتمدی,2157,68%,4.5
198,گرگ بازی,وحشت - هیجان انگیز,1396,"['علی مصفا', 'هانیه توسلی', 'نگار جواهریان', 'سعید چنگیزیان', 'سهیلا گلستانی', 'مهسا علافر', 'فهیمه امن زاده', 'احسان گودرزی', 'ژرژ پطرسی', 'منوچهر زنده دل', 'حمید پورآذری', 'محمدرضا مالکی']",عباس نظام دوست,5477,61%,4.9
199,می زاک,خانوادگی - اجتماعی,1387,"['محمدرضا فروتن', 'باران کوثری', 'داریوش ارجمند', 'جمشید مشایخی', 'فاطمه معتمدآریا', 'علیرضا خمسه', 'رابعه اسکویی', 'طناز طباطبایی', 'کامران فیوضات', 'انوش نصر']",حسینعلی لیالستانی,297,71%,4.1
200,همه دختران من,کمدی - خانوادگی,1372,"['فردوس کاویانی', 'نادیا دلدارگلچین', 'نسرین مقانلو', 'علی مصفا', 'ابراهیم آبادی', 'مجید قناد', 'محمدعلی مژدهی', 'عباس محبی']",اسماعیل سلطانیان,522,91%,5.8
201,ماجراهای اینترنتی,کمدی - خانوادگی,1383,"['بهاره رهنما', 'مریم بوبانی', 'شهرام قائدی', 'رابعه اسکویی', 'مهدی پاکدل', 'محمدرضا صمیمی']",حسین قناعت,894,86%,4.1
202,تقاطع,خانوادگی - اجتماعی,1384,"['فاطمه معتمدآریا', 'بهرام رادان', 'بیژن امکانیان', 'باران کوثری', 'سروش صحت', 'مجید مظفری', 'رضا رادمنش']",ابوالحسن داوودی,1051,90%,5.9
203,نسل جادویی,خانوادگی - اجتماعی,1385,"['هدیه تهرانی', 'رامبد جوان', 'باران کوثری', 'کوروش تهامی', 'نگار جواهریان', 'شاهرخ فروتنیان', 'ساسان بنی', 'منیژه کریمی', 'فرهاد اسماعیلی', 'الیکا عبدالرزاقی', 'احمد حامد']",ایرج کریمی,237,57%,2.5
204,در وجه حامل,خانوادگی - اجتماعی,1397,"['ژاله صامتی', 'محمدرضا غفاری', 'ایرج سنجری', 'محسن کیایی', 'رعنا آزادی ور', 'رؤیا جاویدنیا', 'احسان امانی', 'بابک بهشاد', 'معصومه رحمانی', 'جواد زیتونی', 'بیژن افشار']",بهمن کامیار,8006,78%,5.3
205,خاله قورباغه,خانوادگی - کودک,1395,"['مرضیه برومند', 'شبنم مقدمی', 'غزل شاکری', 'احسان کرمی', 'شایسته ایرانی', 'آناهیتا خسروی', 'شهراد بانکی', 'علیرضا ناصحی', 'افشین هاشمی', 'نگار اردلان']",افشین هاشمی,2866,87%,6.0
206,دارکوب,خانوادگی - عاشقانه,1396,"['سارا بهرامی', 'مهناز افشار', 'امین حیایی', 'هادی حجازی فر', 'جمشید هاشم پور', 'شادی کرم رودی', 'نگار عابدی', 'ثریا حلی', 'طوفان مهردادیان', 'ندا عقیقی', 'اسدالله یکتا', 'آتیه جاوید']",بهروز شعیبی,19849,93%,5.7
207,به وقت خماری,کمدی - خانوادگی,1396,"['مهدی فخیم زاده', 'هنگامه قاضیانی', 'ابوالفضل پورعرب', 'پوریا پورسرخ', 'هنگامه حمیدزاده', 'رعنا آزادی ور', 'هومن برق نورد', 'سیما تیرانداز', 'هادی کاظمی', 'شهره لرستانی', 'مجید یاسر', 'علی سلیمانی', 'بهروز بقایی', 'شیرین یزدان بخش']",محمدحسین لطیفی,29833,89%,4.9
208,وقت چیدن گردوها,خانوادگی - عاشقانه,1382,"['پارسا پیروزفر', 'لادن مستوفی', 'حسن مهمانی', 'امیر عباسی', 'درین دستیار', 'علی عطایی']",ایرج امامی,351,71%,5.1
209,ماجان,خانوادگی - عاشقانه,1396,"['مهتاب کرامتی', 'فرهاد اصلانی', 'سیما تیرانداز', 'بابک انصاری', 'بهنوش بختیاری', 'محمدمهدی احدی', 'عرفان برزین', 'سارا میرایی']",رحمان سیفی آزاد,9241,93%,5.6
210,دایان,اکشن - جنگی,1398,"['ناصر بابائیان', 'عبدالله زواره', 'بهار معروفی']",بهروز نورایی پور,769,83%,
211,سرو زیر آب,اکشن - جنگی,1397,"['بابک حمیدیان', 'مینا ساداتی', 'شهرام حقیقت دوست', 'رضا بهبودی', 'همایون ارشادی', 'مهتاب نصیرپور', 'هومن برق نورد', 'ستاره اسکندری', 'فرخ نعمتی', 'حسین باشه آهنگر', 'محمدهادی قمیشی', 'سیاوش چراغی پور', 'حسین فلاح', 'دنیا مدنی']",محمدعلی باشه آهنگر,6664,93%,5.8
212,داش آکل,خانوادگی - عاشقانه,1396,"['حسین یاری', 'هلیا امامی', 'مهران غفوریان', 'فاطمه گودرزی', 'محمدرضا شریفی نیا', 'علی صادقی', 'نیما شاهرخ شاهی', 'ارسلان قاسمی', 'سید مهرداد ضیایی', 'ارژنگ امیرفضلی', 'امیرحسین صدیق', 'محسن افشانی', 'علیرضا مسعودی', 'ایمان صفا', 'قدرت الله صالحی']",محمد عرب,6022,82%,4.2
213,دم سرخ ها,کمدی - خانوادگی,1396,"['سیدجواد رضویان', 'رضا شفیعی جم', 'اندیشه فولادوند', 'بهنوش بختیاری', 'علی صادقی', 'مجید یاسر', 'رضا ناجی', 'شهره لرستانی', 'سعید پیردوست', 'اصغر سمسارزاده', 'جمال اجلالی', 'آتش تقی پور', 'شهین تسلیمی', 'نگین معتضدی', 'عباس جمشیدی فر', 'اردشیر کاظمی', 'اصغر حیدری', 'فاطمه مرتاضی', 'فرخنده فرمانی زاده', 'ماشاالله شاهمرادی زاده']",آرش معیریان,9155,85%,3.8
214,اخراجی ها 2,کمدی - اکشن,1388,"['امین حیایی', 'منوچهر آذر', 'اکبر عبدی', 'حسام نواب صفوی', 'سیدجواد هاشمی', 'لیلا بلوکات', 'نگار فروزنده', 'سیروس کهوری نژاد', 'ارژنگ امیرفضلی', 'سپند امیرسلیمانی', 'محمدرضا شریفی نیا', 'مینا جعفرزاده', 'فخرالدین صدیق شریف', 'شهره لرستانی', 'مهراوه شریفی نیا', 'سیدجواد رضویان', 'امیریل ارجمند', 'نیوشا ضیغمی', 'قاسم زارع', 'شیلا خداداد', 'بیوک میرزایی', 'احمد ایراندوست', 'میرطاهر مظلومی', 'جلال پیشواییان', 'مهران رجبی', 'شاهرخ نورمحمدی', 'مجید شهریاری']",مسعود ده نمکی,10049,94%,3.0
215,بنفشه آفریقایی (مخصوص نابینایان),خانوادگی - اجتماعی,1396,"['فاطمه معتمدآریا', 'سعید آقاخانی', 'رضا بابک']",مونا زندی حقیقی,184,80%,5.9
216,مادری,مستند - اجتماعی,1397,,مسعود دهنوی,96,84%,
217,با صبر زندگی,مستند - اجتماعی,1396,,وحید فراهانی,70,91%,
218,مسابقه ازدواج,کمدی - خانوادگی,1393,"['مجید واشقانی', 'کوروش معصومی', 'عباس جمشیدی فر', 'خشایار راد', 'عزت الله مهرآوران', 'فلور نظری', 'مینا نوروزی', 'فاطمه شکری', 'ساقی زینتی', 'الناز حبیبی']",سهیل موفق,1635,89%,
219,کلاه گیس,کمدی - خانوادگی,1388,"['حمید لولایی', 'رضا فیض نوروزی', 'زهره مجابی', 'مینا نوروزی', 'سپند امیرسلیمانی', 'عباس محبوب', 'کامران فیوضات', 'سیاوش مفیدی', 'علی صالحی']",سعید عالم زاده,855,78%,
220,کفش های جیرجیرک دار,خانوادگی - اجتماعی,1381,"['اکبر عبدی', 'داریوش اسدزاده', 'حامد زیدی', 'رضا عماد', 'میلاد مهدوی', 'کبری فخری']",شاپور قریب,190,91%,6.8
221,قصه خاطره,کمدی - خانوادگی,1391,"['کامبیز دیرباز', 'زیبا بروفه', 'خاطره مهربان', 'آزیتا ترکاشوند', 'سوده ازقندی', 'سام یکتا', 'محمدعلی محمدی پور', 'سپید بره']",محمد باقرآبادی,301,77%,
222,فلس سیاه,اکشن - پلیسی معمایی,1391,,مسعود تکاور,448,84%,
223,عاشقی با اعمال شاقه,کمدی - خانوادگی,1390,"['یوسف تیموری', 'مریم سلطانی', 'ارژنگ امیرفضلی', 'احمد پورمخبر', 'یوسف صیادی', 'سیدرضا حسینی', 'علی صادقی']",حسام حمیدی,1037,79%,
224,شگون,کمدی - خانوادگی,1393,"['حمید لولایی', 'امیر غفارمنش', 'نفیسه روشن', 'کیانوش گرامی', 'محمد شیری', 'سعیده عرب']",عباس مرادیان,617,70%,
225,ساعت سوخته,خانوادگی - اجتماعی,1386,"['جعفر دهقان', 'چنگیز وثوقی', 'حدیث فولادوند', 'حسین سلیمانی', 'السا فیروز آذر', 'رامسین کبریتی', 'مهوش وقاری']",سید مجتبی اسدی پور,49,74%,
226,راز خانه بهجت,کمدی - خانوادگی,1393,,,1656,62%,
